[07-Oct-2021 09:51:00 UTC] PHP Warning:  An unexpected error occurred. Something may be wrong with WordPress.org or this server&#8217;s configuration. If you continue to have problems, please try the <a href="https://wordpress.org/support/forums/">support forums</a>. (WordPress could not establish a secure connection to WordPress.org. Please contact your server administrator.) in E:\NodeProject\Project-WordPress\wordpress-one\app\public\wp-includes\update.php on line 175
[07-Oct-2021 09:51:00 UTC] PHP Stack trace:
[07-Oct-2021 09:51:00 UTC] PHP   1. {main}() E:\NodeProject\Project-WordPress\wordpress-one\app\public\wp-admin\update.php:0
[07-Oct-2021 09:51:00 UTC] PHP   2. Theme_Upgrader->install() E:\NodeProject\Project-WordPress\wordpress-one\app\public\wp-admin\update.php:314
[07-Oct-2021 09:51:00 UTC] PHP   3. Theme_Upgrader->run() E:\NodeProject\Project-WordPress\wordpress-one\app\public\wp-admin\includes\class-theme-upgrader.php:250
[07-Oct-2021 09:51:00 UTC] PHP   4. do_action() E:\NodeProject\Project-WordPress\wordpress-one\app\public\wp-admin\includes\class-wp-upgrader.php:857
[07-Oct-2021 09:51:00 UTC] PHP   5. WP_Hook->do_action() E:\NodeProject\Project-WordPress\wordpress-one\app\public\wp-includes\plugin.php:470
[07-Oct-2021 09:51:00 UTC] PHP   6. WP_Hook->apply_filters() E:\NodeProject\Project-WordPress\wordpress-one\app\public\wp-includes\class-wp-hook.php:327
[07-Oct-2021 09:51:00 UTC] PHP   7. wp_version_check() E:\NodeProject\Project-WordPress\wordpress-one\app\public\wp-includes\class-wp-hook.php:301
[07-Oct-2021 09:51:00 UTC] PHP   8. trigger_error() E:\NodeProject\Project-WordPress\wordpress-one\app\public\wp-includes\update.php:175
[07-Oct-2021 09:51:01 UTC] PHP Warning:  An unexpected error occurred. Something may be wrong with WordPress.org or this server&#8217;s configuration. If you continue to have problems, please try the <a href="https://wordpress.org/support/forums/">support forums</a>. (WordPress could not establish a secure connection to WordPress.org. Please contact your server administrator.) in E:\NodeProject\Project-WordPress\wordpress-one\app\public\wp-includes\update.php on line 413
[07-Oct-2021 09:51:01 UTC] PHP Stack trace:
[07-Oct-2021 09:51:01 UTC] PHP   1. {main}() E:\NodeProject\Project-WordPress\wordpress-one\app\public\wp-admin\update.php:0
[07-Oct-2021 09:51:01 UTC] PHP   2. Theme_Upgrader->install() E:\NodeProject\Project-WordPress\wordpress-one\app\public\wp-admin\update.php:314
[07-Oct-2021 09:51:01 UTC] PHP   3. Theme_Upgrader->run() E:\NodeProject\Project-WordPress\wordpress-one\app\public\wp-admin\includes\class-theme-upgrader.php:250
[07-Oct-2021 09:51:01 UTC] PHP   4. do_action() E:\NodeProject\Project-WordPress\wordpress-one\app\public\wp-admin\includes\class-wp-upgrader.php:857
[07-Oct-2021 09:51:01 UTC] PHP   5. WP_Hook->do_action() E:\NodeProject\Project-WordPress\wordpress-one\app\public\wp-includes\plugin.php:470
[07-Oct-2021 09:51:01 UTC] PHP   6. WP_Hook->apply_filters() E:\NodeProject\Project-WordPress\wordpress-one\app\public\wp-includes\class-wp-hook.php:327
[07-Oct-2021 09:51:01 UTC] PHP   7. wp_update_plugins() E:\NodeProject\Project-WordPress\wordpress-one\app\public\wp-includes\class-wp-hook.php:301
[07-Oct-2021 09:51:01 UTC] PHP   8. trigger_error() E:\NodeProject\Project-WordPress\wordpress-one\app\public\wp-includes\update.php:413
[07-Oct-2021 09:51:04 UTC] PHP Warning:  An unexpected error occurred. Something may be wrong with WordPress.org or this server&#8217;s configuration. If you continue to have problems, please try the <a href="https://wordpress.org/support/forums/">support forums</a>. (WordPress could not establish a secure connection to WordPress.org. Please contact your server administrator.) in E:\NodeProject\Project-WordPress\wordpress-one\app\public\wp-includes\update.php on line 693
[07-Oct-2021 09:51:04 UTC] PHP Stack trace:
[07-Oct-2021 09:51:04 UTC] PHP   1. {main}() E:\NodeProject\Project-WordPress\wordpress-one\app\public\wp-admin\update.php:0
[07-Oct-2021 09:51:04 UTC] PHP   2. Theme_Upgrader->install() E:\NodeProject\Project-WordPress\wordpress-one\app\public\wp-admin\update.php:314
[07-Oct-2021 09:51:04 UTC] PHP   3. Theme_Upgrader->run() E:\NodeProject\Project-WordPress\wordpress-one\app\public\wp-admin\includes\class-theme-upgrader.php:250
[07-Oct-2021 09:51:04 UTC] PHP   4. do_action() E:\NodeProject\Project-WordPress\wordpress-one\app\public\wp-admin\includes\class-wp-upgrader.php:857
[07-Oct-2021 09:51:04 UTC] PHP   5. WP_Hook->do_action() E:\NodeProject\Project-WordPress\wordpress-one\app\public\wp-includes\plugin.php:470
[07-Oct-2021 09:51:04 UTC] PHP   6. WP_Hook->apply_filters() E:\NodeProject\Project-WordPress\wordpress-one\app\public\wp-includes\class-wp-hook.php:327
[07-Oct-2021 09:51:04 UTC] PHP   7. wp_update_themes() E:\NodeProject\Project-WordPress\wordpress-one\app\public\wp-includes\class-wp-hook.php:301
[07-Oct-2021 09:51:04 UTC] PHP   8. trigger_error() E:\NodeProject\Project-WordPress\wordpress-one\app\public\wp-includes\update.php:693
